Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
6,5,4,3.8819224192616275,False,4,['' '' '' '' '7' '' '' '' ''],['' '' '4' '' '' '' '' '4' '4']
6,6,4,1.06133994318634,False,4,['' '' '4' '' '' '' '' '4' '4'],['' '' '' '' '' '' '4' '' '']
6,7,7,2.0912375011876065,False,7,['' '' '' '' '' '' '4' '' ''],['9' '9' '' '9' '' '9' '' '9' '9']
6,8,0,0.7107610830721569,True,0,['9' '9' '' '9' '' '9' '' '9' '9'],['1' '' '' '' '' '' '' '' '']
6,9,9,7.00328347597997,False,5,['1' '' '' '' '' '' '' '' ''],['8' '' '8' '' '' '' '8' '' '8']
6,10,0,1.5002869019494938,True,0,['8' '' '8' '' '' '' '8' '' '8'],['2' '2' '2' '2' '2' '2' '2' '2' '2']
6,11,0,1.048405223530608,False,0,['2' '2' '2' '2' '2' '2' '2' '2' '2'],['' '' '' '8' '' '' '' '' '']
6,12,3,0.7584611176994258,True,3,['' '' '' '8' '' '' '' '' ''],['' '5' '' '5' '5' '5' '' '5' '5']
6,13,3,0.7215143519924823,True,3,['' '5' '' '5' '5' '5' '' '5' '5'],['' '8' '' '' '' '' '' '' '']
7,1,7,1.7582243948627365,True,7,['' '2' '2' '2' '2' '2' '2' '' '2'],['5' '' '' '5' '' '' '5' '5' '']
7,2,0,2.6708564310470138,False,0,['5' '' '' '5' '' '' '5' '5' ''],['3' '' '3' '' '' '3' '3' '3' '3']
7,3,8,2.6903113709699937,False,8,['3' '' '3' '' '' '3' '3' '3' '3'],['' '3' '' '' '' '' '3' '' '']
7,4,2,0.917032476228087,True,2,['' '3' '' '' '' '' '3' '' ''],['9' '' '9' '9' '9' '9' '9' '' '']
7,5,1,1.504533357235232,True,1,['9' '' '9' '9' '9' '9' '9' '' ''],['' '2' '2' '2' '2' '' '2' '' '']
7,6,4,2.3314406997801598,False,4,['' '2' '2' '2' '2' '' '2' '' ''],['9' '9' '9' '9' '9' '9' '9' '9' '9']
7,7,2,0.7718872862214994,True,2,['9' '9' '9' '9' '9' '9' '9' '9' '9'],['3' '3' '' '3' '3' '3' '' '3' '']
7,8,7,2.0463969098859707,False,7,['3' '3' '' '3' '3' '3' '' '3' ''],['' '' '' '3' '' '' '' '' '']
7,9,2,1.5958976468677974,True,1,['' '' '' '3' '' '' '' '' ''],['' '' '' '8' '' '8' '' '' '']
7,10,3,1.323215155777234,True,3,['' '' '' '8' '' '8' '' '' ''],['5' '5' '5' '5' '5' '5' '5' '5' '5']
7,11,1,1.1822869264642577,True,1,['5' '5' '5' '5' '5' '5' '5' '5' '5'],['' '6' '' '' '' '' '' '' '6']
7,12,0,1.438878393410505,True,0,['' '6' '' '' '' '' '' '' '6'],['' '' '4' '4' '4' '4' '4' '' '']
7,13,2,2.196418666936097,True,2,['' '' '4' '4' '4' '4' '4' '' ''],['' '' '' '' '8' '8' '' '' '8']
7,14,2,2.4757060316060233,False,2,['' '' '' '' '8' '8' '' '' '8'],['6' '6' '6' '6' '6' '6' '6' '6' '6']
8,1,3,4.410164449592685,True,3,['' '9' '9' '9' '9' '9' '9' '' '9'],['4' '4' '4' '4' '' '' '' '' '4']
8,2,8,2.1174394250010664,True,8,['4' '4' '4' '4' '' '' '' '' '4'],['4' '' '4' '' '' '4' '4' '' '4']
8,3,4,1.8629968498239577,False,4,['4' '' '4' '' '' '4' '4' '' '4'],['8' '8' '8' '8' '8' '8' '8' '8' '8']
8,4,9,1.066595726425021,True,9,['8' '8' '8' '8' '8' '8' '8' '8' '8'],['1' '' '1' '1' '1' '' '' '1' '1']
8,5,6,1.8007287845775863,True,6,['1' '' '1' '1' '1' '' '' '1' '1'],['5' '5' '' '5' '' '5' '' '5' '']
8,6,0,4.087942916854445,False,0,['5' '5' '' '5' '' '5' '' '5' ''],['' '9' '9' '9' '' '9' '' '' '9']
8,7,2,1.2481491185326377,True,2,['' '9' '9' '9' '' '9' '' '' '9'],['' '3' '3' '3' '3' '3' '' '3' '3']
8,8,8,3.2853647829965666,False,8,['' '3' '3' '3' '3' '3' '' '3' '3'],['' '' '7' '' '' '' '' '' '']
8,9,9,0.9753930824836061,True,4,['' '' '7' '' '' '' '' '' ''],['7' '7' '7' '7' '7' '7' '7' '7' '']
8,10,8,6.759480404864917,True,9,['7' '7' '7' '7' '7' '7' '7' '7' ''],['2' '2' '2' '2' '2' '2' '2' '2' '']
8,11,5,3.474005304430193,False,5,['2' '2' '2' '2' '2' '2' '2' '2' ''],['' '7' '7' '7' '7' '7' '7' '7' '']
8,12,0,1.3733172760175876,True,0,['' '7' '7' '7' '7' '7' '7' '7' ''],['3' '' '' '' '' '3' '' '' '3']
9,1,9,0.991787096536882,True,9,['' '' '' '' '' '' '1' '' '1'],['' '8' '' '8' '8' '' '' '8' '8']
9,2,7,2.296561619950353,True,7,['' '8' '' '8' '8' '' '' '8' '8'],['9' '9' '9' '' '9' '' '' '' '']
9,3,7,2.811786192546606,False,7,['9' '9' '9' '' '9' '' '' '' ''],['5' '' '' '5' '' '' '' '5' '']
