Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
7,11,6,2.9321505618527226,"(False, False)",6,['' '' '' '' '' '9' '' '' ''],['8' '' '8' '' '8' '' '8' '8' '']
7,12,3,1.1508349651121534,"(True, True)",3,['8' '' '8' '' '8' '' '8' '8' ''],['' '' '5' '5' '5' '5' '5' '' '']
8,1,5,1.0665892146316764,"(True, True)",5,['8' '8' '8' '8' '8' '8' '' '8' '8'],['' '' '7' '' '' '7' '' '' '']
8,2,3,1.647936451026908,"(False, False)",3,['' '' '7' '' '' '7' '' '' ''],['' '' '' '' '' '' '' '' '5']
8,3,4,1.9886093414361312,"(True, False)",4,['' '' '' '' '' '' '' '' '5'],['4' '4' '4' '4' '4' '4' '4' '4' '4']
8,4,0,2.044850933561065,"(True, False)",0,['4' '4' '4' '4' '4' '4' '4' '4' '4'],['' '8' '8' '' '8' '8' '8' '' '8']
8,5,8,2.0339609169823234,"(False, True)",8,['' '8' '8' '' '8' '8' '8' '' '8'],['2' '2' '2' '2' '2' '2' '2' '2' '2']
8,6,8,0.9187661454170666,"(True, True)",8,['2' '2' '2' '2' '2' '2' '2' '2' '2'],['6' '' '' '' '' '' '6' '' '']
8,7,3,1.3855176952238253,"(False, True)",3,['6' '' '' '' '' '' '6' '' ''],['1' '1' '1' '' '' '1' '1' '1' '1']
8,8,2,3.441072101638383,"(False, False)",2,['1' '1' '1' '' '' '1' '1' '1' '1'],['6' '' '' '6' '6' '6' '' '' '6']
8,9,8,2.0369938804460617,"(True, False)",8,['6' '' '' '6' '6' '6' '' '' '6'],['' '' '' '' '' '2' '' '2' '']
8,10,7,2.842652858600559,"(True, False)",7,['' '' '' '' '' '2' '' '2' ''],['' '3' '3' '' '3' '3' '' '' '3']
8,11,1,1.7666387808694708,"(False, True)",1,['' '3' '3' '' '3' '3' '' '' '3'],['6' '' '6' '' '6' '6' '6' '6' '6']
8,12,9,3.1662552745528956,"(False, True)",9,['6' '' '6' '' '6' '6' '6' '6' '6'],['2' '2' '' '' '' '2' '2' '' '2']
8,13,1,0.940394492095038,"(True, True)",1,['2' '2' '' '' '' '2' '2' '' '2'],['' '' '' '' '9' '9' '9' '9' '']
9,1,3,3.9496469841969883,"(False, False)",3,['5' '5' '5' '5' '5' '' '5' '5' '5'],['' '9' '9' '9' '9' '9' '' '' '']
9,2,7,1.3732590529252775,"(True, True)",7,['' '9' '9' '9' '9' '9' '' '' ''],['' '' '' '8' '8' '8' '' '' '']
9,3,0,1.5344052511100017,"(False, True)",0,['' '' '' '8' '8' '8' '' '' ''],['' '' '7' '7' '' '' '' '7' '']
9,4,2,2.0161323931833977,"(False, False)",2,['' '' '7' '7' '' '' '' '7' ''],['1' '1' '1' '1' '1' '1' '1' '1' '1']
9,5,1,2.9016795830002593,"(False, True)",1,['1' '1' '1' '1' '1' '1' '1' '1' '1'],['2' '2' '' '2' '' '2' '' '2' '2']
9,6,3,3.646880391382183,"(False, False)",3,['2' '2' '' '2' '' '2' '' '2' '2'],['' '5' '5' '5' '5' '5' '5' '5' '']
9,7,5,4.147340813467963,"(False, False)",5,['' '5' '5' '5' '5' '5' '5' '5' ''],['3' '3' '3' '3' '3' '3' '3' '' '3']
9,8,1,2.4577599124813787,"(True, False)",1,['3' '3' '3' '3' '3' '3' '3' '' '3'],['9' '9' '' '9' '9' '9' '9' '9' '9']
