Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
6,9,2,1.2971679828151537,"(True, True)",2,['' '' '3' '' '' '' '' '' ''],['9' '' '9' '9' '9' '9' '' '9' '9']
6,10,8,3.5416218502073207,"(False, False)",8,['9' '' '9' '9' '9' '9' '' '9' '9'],['' '' '' '' '' '' '' '' '9']
7,1,7,4.608748096258296,"(False, True)",7,['4' '' '' '' '' '' '' '' ''],['' '6' '6' '' '' '6' '6' '6' '']
7,2,0,0.9973343782844495,"(True, True)",0,['' '6' '6' '' '' '6' '6' '6' ''],['' '4' '4' '4' '4' '4' '4' '' '4']
7,3,3,2.3322715279887234,"(True, False)",3,['' '4' '4' '4' '4' '4' '4' '' '4'],['3' '3' '3' '3' '3' '3' '3' '3' '3']
7,4,0,3.267981359417263,"(True, False)",0,['3' '3' '3' '3' '3' '3' '3' '3' '3'],['4' '4' '4' '4' '4' '4' '' '4' '']
7,5,3,1.109890341402206,"(True, True)",3,['4' '4' '4' '4' '4' '4' '' '4' ''],['9' '9' '9' '9' '' '9' '9' '' '9']
7,6,9,1.8259999050046645,"(False, False)",9,['9' '9' '9' '9' '' '9' '9' '' '9'],['' '' '' '' '7' '' '' '' '7']
7,7,0,1.3371622677591404,"(False, False)",0,['' '' '' '' '7' '' '' '' '7'],['9' '9' '' '9' '9' '9' '9' '9' '9']
7,8,4,3.4427280123554738,"(False, False)",4,['9' '9' '' '9' '9' '9' '9' '9' '9'],['4' '4' '4' '4' '4' '' '' '' '4']
7,9,1,2.447303887770431,"(False, False)",1,['4' '4' '4' '4' '4' '' '' '' '4'],['6' '' '6' '6' '' '6' '' '' '6']
7,10,3,3.5316235662562576,"(False, False)",3,['6' '' '6' '6' '' '6' '' '' '6'],['8' '8' '8' '8' '8' '8' '8' '8' '']
7,11,4,1.1328352194550462,"(True, True)",4,['8' '8' '8' '8' '8' '8' '8' '8' ''],['' '6' '6' '' '' '' '' '' '']
7,12,6,2.8808173296438326,"(False, True)",6,['' '6' '6' '' '' '' '' '' ''],['' '' '' '4' '' '' '' '' '']
7,13,6,0.8767639298748691,"(True, True)",6,['' '' '' '4' '' '' '' '' ''],['' '' '' '' '' '' '2' '2' '2']
8,1,7,1.0511133634254293,"(True, True)",7,['' '' '' '9' '' '' '' '9' '9'],['8' '' '8' '8' '8' '' '8' '8' '']
8,2,2,1.073908470234528,"(True, True)",2,['8' '' '8' '8' '8' '' '8' '8' ''],['4' '' '4' '' '4' '' '4' '4' '4']
